FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Fracture Repair,5,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Free Flap Graft,<5,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hand/Wrist Surgery,11,9,5.6,70.7
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hernia Repair - Abdominal,151,85,4.4,17.9
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hip Replacement,75,42,5.4,12.7
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Kidney/Bladder Stone Removal,<5,9,4.0,7.5
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Knee - ACL Repair,14,7,5.1,6.7
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Knee Arthroscopy,17,13,6.3,10.6
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Knee Replacement,121,54,7.4,13.6
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Laparoscopy,11,5,5.1,19.0
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Laparotomy,<5,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Male Reproductive Surgery,11,18,2.6,14.4
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Mastectomy,10,48,1.6,3.9
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Mastoidectomy,8,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Myringotomy,7,9,8.3,16.2
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Nasal Surgery,104,34,9.1,15.9
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Nerve Surgery,7,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Oral Cavity & Pharynx Surgery,38,31,16.7,43.6
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Other Ear Surgery,<5,0,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Other Eye Surgery,63,18,13.6,70.2
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Other Joint Reconstruction,33,12,3.0,11.3
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Other Orthopaedic Surgery,71,48,4.4,13.1
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Other Urology Surgery,39,123,1.0,4.3
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Parotidectomy,6,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Prostate Surgery,35,50,2.6,7.3
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Rectal Surgery,12,8,5.6,21.0
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Shoulder Surgery,50,18,6.6,11.9
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Sinus Surgery,53,19,10.7,27.7
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Skin Surgery,6,6,3.6,19.4
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Skin Tumour Removal,24,68,1.9,5.8
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Spinal/Back Surgery,<5,5,2.9,2.9
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Tendon Surgery,8,7,1.7,8.5
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Thyroidectomy,15,6,5.4,12.1
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Tonsillectomy/Adenoidectomy,45,18,10.8,20.7
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Tympanoplasty,15,7,14.1,29.3
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Uterine Surgery,144,159,3.4,16.2
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Vaginal Repair,15,8,6.9,36.6
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Varicose Veins Ligation/Stripping,58,20,9.8,16.2
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Vascular Surgery - Other,6,<5,,
2021/22,Q2,Vancouver Island,Nanaimo Regional General Hospital,Wound/Laceration Care,10,5,2.3,4.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Abdominoplasty,29,10,32.1,64.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,All Other Procedures,118,146,5.1,21.1
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,All Procedures,4680,3799,6.0,26.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Aortic Aneurysm Repair,6,14,1.4,3.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Appendectomy,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Bariatric Surgery,37,45,9.0,13.0
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Biopsy in OR,26,27,2.1,5.1
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Bladder Surgery,13,54,3.5,5.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Bowel Resection,19,27,3.9,14.1
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Breast Biopsy,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Breast Reconstruction,82,28,4.9,33.8
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Breast Reduction,173,80,11.6,80.0
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Cataract Surgery,1340,1425,4.9,23.9
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Cholecystectomy,42,24,10.2,39.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Colostomy/Ileostomy,6,11,16.6,38.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Cyst/Ganglion Removal,23,12,4.2,8.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Dental Surgery,39,61,5.4,10.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Endarterectomy,32,41,1.9,14.9
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Esophagectomy,21,6,7.6,10.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Excision Gynecomastia,7,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Excision Lesion/Tumour,12,15,5.6,17.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Facial Bone Reconstruction,<5,6,3.1,6.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Fistula Repair - Non Vascular,<5,0,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Fracture Repair,<5,6,0.6,0.8
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Free Flap Graft,6,9,2.1,12.8
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Gastrostomy/Jejunostomy,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Hand/Wrist Surgery,89,74,4.1,19.2
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Hernia Repair - Abdominal,197,47,9.3,30.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Hernia Repair - Hiatal,33,17,10.3,21.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Hip Replacement,362,210,16.6,32.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Kidney/Bladder Stone Removal,46,60,9.0,29.9
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Knee - ACL Repair,39,26,8.0,13.2
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Knee - Meniscectomy,17,14,8.9,17.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Knee Arthroscopy,51,33,6.4,15.5
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Knee Replacement,472,239,17.6,34.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Lens & Vitreous (non-cataract) Surgery,91,106,3.3,14.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Ligament Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Lipectomy,<5,0,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Male Reproductive Surgery,27,13,13.9,70.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Mastectomy,23,45,2.0,9.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Nasal Surgery,31,8,27.6,46.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Nerve Surgery,10,27,2.9,20.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Oral Cavity & Pharynx Surgery,<5,6,13.5,16.5
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Other Eye Surgery,141,189,4.6,19.9
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Other Joint Reconstruction,13,5,10.4,28.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Other Orthopaedic Surgery,80,51,5.4,19.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Other Urology Surgery,32,75,4.3,13.0
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Parotidectomy,22,8,13.1,37.7
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Prostate Surgery,82,84,4.0,21.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Rectal Surgery,29,7,16.9,34.1
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Rib Resection,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Scope of Chest,41,67,4.3,6.4
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Shoulder Surgery,33,41,9.9,31.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Sinus Surgery,7,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Skin Surgery,29,14,1.8,14.9
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Skin Tumour Removal,96,67,4.4,23.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Sphincterotomy,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Tendon Surgery,<5,8,7.7,25.0
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Thoracotomy,<5,9,6.1,9.0
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Thyroidectomy,56,24,6.1,25.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Tonsillectomy/Adenoidectomy,8,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Vaginal Repair,<5,<5,,
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Varicose Veins Ligation/Stripping,363,80,29.0,88.6
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Vascular Bypass Graft - Non Cardiac,36,19,2.3,13.3
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Vascular Surgery - Other,60,47,5.3,21.8
2021/22,Q2,Vancouver Island,Royal Jubilee Hospital,Wound/Laceration Care,10,5,0.7,6.6
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Abdominoplasty,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,All Other Procedures,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,All Procedures,520,841,4.1,22.1
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Biopsy in OR,11,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Bladder Surgery,<5,7,20.4,28.2
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Breast Biopsy,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Breast Reconstruction,6,7,3.6,18.6
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Breast Reduction,13,28,12.6,20.6
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Cataract Surgery,39,251,2.9,3.7
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Cholecystectomy,18,26,9.6,31.5
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Cyst/Ganglion Removal,20,32,5.1,20.9
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,D&C and Related Surgery,12,17,11.6,25.8
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Dental Surgery,50,67,5.3,13.9
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Excision Gynecomastia,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Excision Lesion/Tumour,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Fallopian Tube/Ovarian Surgery,6,6,19.9,34.4
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Foot/Ankle Surgery,<5,8,15.4,26.5
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Fracture Repair,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Hand/Wrist Surgery,25,52,4.1,8.7
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Hernia Repair - Abdominal,69,90,8.4,27.3
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Knee - Meniscectomy,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Knee Arthroscopy,26,22,10.9,20.2
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Laparoscopy,9,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Lipectomy,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Mastectomy,39,13,5.4,17.3
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Nasal Surgery,5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Nerve Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Oral Cavity & Pharynx Surgery,<5,0,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Other Eye Surgery,7,11,2.0,14.6
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Other Joint Reconstruction,26,27,18.4,41.1
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Other Orthopaedic Surgery,32,59,5.0,17.9
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Rectal Surgery,9,8,4.6,13.3
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Sinus Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Skin Surgery,<5,7,3.9,8.3
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Skin Tumour Removal,15,21,2.6,12.0
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Sphincterotomy,<5,0,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Tendon Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Tonsillectomy/Adenoidectomy,<5,<5,,
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Uterine Surgery,34,25,5.1,18.1
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Vaginal Repair,10,9,27.4,33.5
2021/22,Q2,Vancouver Island,Saanich Peninsula Hospital,Wound/Laceration Care,7,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,All Other Procedures,108,117,4.1,16.0
2021/22,Q2,Vancouver Island,Victoria General Hospital,All Procedures,2805,2044,7.0,26.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Appendectomy,6,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Biopsy in OR,23,37,3.3,16.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Bladder Surgery,86,63,4.7,25.0
2021/22,Q2,Vancouver Island,Victoria General Hospital,Bowel Resection,51,39,4.0,9.3
2021/22,Q2,Vancouver Island,Victoria General Hospital,Breast Biopsy,6,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Breast Reduction,<5,0,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Cataract Surgery,<5,0,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Cholecystectomy,97,36,9.6,21.6
2021/22,Q2,Vancouver Island,Victoria General Hospital,Colostomy/Ileostomy,9,7,6.9,19.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Cranial Surgery,16,30,3.0,28.6
2021/22,Q2,Vancouver Island,Victoria General Hospital,Cyst/Ganglion Removal,26,19,9.4,26.2
2021/22,Q2,Vancouver Island,Victoria General Hospital,D&C and Related Surgery,77,83,9.1,19.4
2021/22,Q2,Vancouver Island,Victoria General Hospital,Dental Surgery,114,112,7.2,19.2
2021/22,Q2,Vancouver Island,Victoria General Hospital,Esophagectomy,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Examination Under Anaesthetic,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Excision Lesion/Tumour,53,70,4.9,14.5
2021/22,Q2,Vancouver Island,Victoria General Hospital,Facial Bone Reconstruction,12,6,17.4,32.0
2021/22,Q2,Vancouver Island,Victoria General Hospital,Fallopian Tube/Ovarian Surgery,81,51,11.4,33.3
2021/22,Q2,Vancouver Island,Victoria General Hospital,Fistula Repair - Non Vascular,6,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Foot/Ankle Surgery,10,7,16.4,30.2
2021/22,Q2,Vancouver Island,Victoria General Hospital,Foreign Body Removal Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Fracture Repair,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Free Flap Graft,<5,6,5.1,10.4
2021/22,Q2,Vancouver Island,Victoria General Hospital,Hernia Repair - Abdominal,282,121,13.9,37.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Hernia Repair - Hiatal,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Kidney/Bladder Stone Removal,39,36,4.3,14.2
2021/22,Q2,Vancouver Island,Victoria General Hospital,Knee - ACL Repair,34,18,8.6,20.9
2021/22,Q2,Vancouver Island,Victoria General Hospital,Knee - Meniscectomy,22,9,11.7,33.9
2021/22,Q2,Vancouver Island,Victoria General Hospital,Knee Arthroscopy,34,15,9.6,29.3
2021/22,Q2,Vancouver Island,Victoria General Hospital,Laparoscopy,23,33,15.0,31.7
2021/22,Q2,Vancouver Island,Victoria General Hospital,Male Reproductive Surgery,119,46,15.6,30.2
2021/22,Q2,Vancouver Island,Victoria General Hospital,Mastectomy,29,81,2.0,4.0
2021/22,Q2,Vancouver Island,Victoria General Hospital,Mastoidectomy,10,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Myringotomy,19,14,9.1,21.0
2021/22,Q2,Vancouver Island,Victoria General Hospital,Nasal Surgery,97,31,19.4,26.6
2021/22,Q2,Vancouver Island,Victoria General Hospital,Oral Cavity & Pharynx Surgery,32,21,12.3,17.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Other Ear Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Other Eye Surgery,39,30,12.5,16.6
2021/22,Q2,Vancouver Island,Victoria General Hospital,Other Joint Reconstruction,69,39,10.1,29.6
2021/22,Q2,Vancouver Island,Victoria General Hospital,Other Orthopaedic Surgery,99,54,8.2,33.7
2021/22,Q2,Vancouver Island,Victoria General Hospital,Other Urology Surgery,112,115,4.6,20.7
2021/22,Q2,Vancouver Island,Victoria General Hospital,Parotidectomy,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Prostate Surgery,154,98,4.6,40.4
2021/22,Q2,Vancouver Island,Victoria General Hospital,Rectal Surgery,50,25,12.1,34.8
2021/22,Q2,Vancouver Island,Victoria General Hospital,Shoulder Surgery,84,50,10.4,28.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Shunt Insertion/Removal,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Sinus Surgery,35,17,13.9,20.8
2021/22,Q2,Vancouver Island,Victoria General Hospital,Skin Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Skin Tumour Removal,14,12,5.8,9.7
2021/22,Q2,Vancouver Island,Victoria General Hospital,Sphincterotomy,<5,0,,
2021/22,Q2,Vancouver Island,Victoria General Hospital,Spinal/Back Surgery,152,101,5.3,25.1
2021/22,Q2,Vancouver Island,Victoria General Hospital,Tendon Surgery,10,12,4.3,11.8
2021/22,Q2,Vancouver Island,Victoria General Hospital,Thyroidectomy,6,5,7.6,17.9
2021/22,Q2,Vancouver Island,Victoria General Hospital,Tonsillectomy/Adenoidectomy,51,30,16.3,25.4
2021/22,Q2,Vancouver Island,Victoria General Hospital,Tympanoplasty,17,13,12.1,23.7
2021/22,Q2,Vancouver Island,Victoria General Hospital,Uterine Surgery,281,263,6.4,23.3
2021/22,Q2,Vancouver Island,Victoria General Hospital,Vaginal Repair,57,30,17.1,30.0
2021/22,Q2,Vancouver Island,Victoria General Hospital,Wound/Laceration Care,28,<5,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,All Other Procedures,<5,<5,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,All Procedures,132,216,3.4,10.1
2021/22,Q2,Vancouver Island,West Coast General Hospital,Biopsy in OR,<5,5,10.0,12.3
2021/22,Q2,Vancouver Island,West Coast General Hospital,Bladder Surgery,8,12,16.4,30.7
2021/22,Q2,Vancouver Island,West Coast General Hospital,Bowel Resection,<5,7,1.7,3.6
2021/22,Q2,Vancouver Island,West Coast General Hospital,Cholecystectomy,7,11,4.4,7.4
2021/22,Q2,Vancouver Island,West Coast General Hospital,Cyst/Ganglion Removal,<5,5,2.6,7.4
2021/22,Q2,Vancouver Island,West Coast General Hospital,D&C and Related Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Dental Surgery,9,13,3.3,4.5
2021/22,Q2,Vancouver Island,West Coast General Hospital,Excision Lesion/Tumour,<5,0,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Fallopian Tube/Ovarian Surgery,<5,6,4.4,7.4
2021/22,Q2,Vancouver Island,West Coast General Hospital,Foreign Body Removal Surgery,<5,0,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Hand/Wrist Surgery,6,5,7.1,10.5
2021/22,Q2,Vancouver Island,West Coast General Hospital,Hernia Repair - Abdominal,27,29,6.1,8.6
2021/22,Q2,Vancouver Island,West Coast General Hospital,Laparoscopy,<5,<5,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Male Reproductive Surgery,6,6,3.6,5.6
2021/22,Q2,Vancouver Island,West Coast General Hospital,Mastectomy,<5,11,2.7,4.0
2021/22,Q2,Vancouver Island,West Coast General Hospital,Other Orthopaedic Surgery,<5,0,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Other Urology Surgery,14,28,2.6,11.1
2021/22,Q2,Vancouver Island,West Coast General Hospital,Prostate Surgery,10,26,6.5,11.6
2021/22,Q2,Vancouver Island,West Coast General Hospital,Rectal Surgery,6,5,7.1,13.1
2021/22,Q2,Vancouver Island,West Coast General Hospital,Skin Surgery,<5,<5,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Thyroidectomy,<5,0,,
2021/22,Q2,Vancouver Island,West Coast General Hospital,Uterine Surgery,8,17,4.9,8.7
2021/22,Q2,Vancouver Island,West Coast General Hospital,Vaginal Repair,<5,6,4.6,9.4
2021/22,Q2,Vancouver Island,West Coast General Hospital,Wound/Laceration Care,<5,<5,,
2021/22,Q3,All Health Authorities,All Facilities,Abdominoplasty,112,52,10.0,45.2
2021/22,Q3,All Health Authorities,All Facilities,All Other Procedures,1489,1629,3.1,18.0
2021/22,Q3,All Health Authorities,All Facilities,All Procedures,84567,61995,5.7,27.6
2021/22,Q3,All Health Authorities,All Facilities,Aortic Aneurysm Repair,52,81,3.1,9.9
2021/22,Q3,All Health Authorities,All Facilities,Appendectomy,70,74,4.4,13.9
2021/22,Q3,All Health Authorities,All Facilities,Bariatric Surgery,164,129,8.9,24.9
2021/22,Q3,All Health Authorities,All Facilities,Biopsy in OR,351,533,2.4,11.9
2021/22,Q3,All Health Authorities,All Facilities,Bladder Surgery,902,1193,3.9,13.0
2021/22,Q3,All Health Authorities,All Facilities,Bowel Resection,444,689,3.0,9.1
2021/22,Q3,All Health Authorities,All Facilities,Breast Biopsy,191,332,2.8,8.0
2021/22,Q3,All Health Authorities,All Facilities,Breast Reconstruction,722,289,6.0,48.3
2021/22,Q3,All Health Authorities,All Facilities,Breast Reduction,1629,485,18.1,58.5
2021/22,Q3,All Health Authorities,All Facilities,CSF Drainage,14,18,1.1,9.6
2021/22,Q3,All Health Authorities,All Facilities,Cataract Surgery,17893,18333,5.9,26.4
2021/22,Q3,All Health Authorities,All Facilities,Cholecystectomy,1436,1296,4.7,17.8
2021/22,Q3,All Health Authorities,All Facilities,Colostomy/Ileostomy,192,125,4.3,20.2
2021/22,Q3,All Health Authorities,All Facilities,Cone Biopsy,29,59,4.0,8.1
2021/22,Q3,All Health Authorities,All Facilities,Cranial Surgery,154,220,2.6,17.2
2021/22,Q3,All Health Authorities,All Facilities,Cyst/Ganglion Removal,420,267,5.3,26.1
2021/22,Q3,All Health Authorities,All Facilities,D&C and Related Surgery,1115,1291,3.7,17.3
2021/22,Q3,All Health Authorities,All Facilities,Dental Surgery,2731,1837,7.7,26.0
2021/22,Q3,All Health Authorities,All Facilities,Endarterectomy,103,142,1.9,12.0
2021/22,Q3,All Health Authorities,All Facilities,Esophagectomy,36,38,3.0,13.2
2021/22,Q3,All Health Authorities,All Facilities,Examination Under Anaesthetic,260,248,4.4,24.8
2021/22,Q3,All Health Authorities,All Facilities,Excision Gynecomastia,71,37,11.4,50.3
2021/22,Q3,All Health Authorities,All Facilities,Excision Lesion/Tumour,681,776,3.6,15.8
2021/22,Q3,All Health Authorities,All Facilities,Facial Bone Reconstruction,301,121,8.0,29.6
2021/22,Q3,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1211,753,7.7,28.1
2021/22,Q3,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,87,76,5.5,19.2
2021/22,Q3,All Health Authorities,All Facilities,Foot/Ankle Surgery,469,173,10.9,51.5
2021/22,Q3,All Health Authorities,All Facilities,Foreign Body Removal Surgery,57,64,1.6,13.2
2021/22,Q3,All Health Authorities,All Facilities,Fracture Repair,184,415,0.6,7.9
2021/22,Q3,All Health Authorities,All Facilities,Free Flap Graft,28,34,3.2,11.7
2021/22,Q3,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,21,28,0.9,3.6
2021/22,Q3,All Health Authorities,All Facilities,Hand/Wrist Surgery,791,544,6.2,24.5
2021/22,Q3,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4265,2810,6.7,26.1
2021/22,Q3,All Health Authorities,All Facilities,Hernia Repair - Hiatal,225,96,4.8,35.6
2021/22,Q3,All Health Authorities,All Facilities,Hip Replacement,4113,1571,17.6,43.1
2021/22,Q3,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,529,592,4.6,17.0
2021/22,Q3,All Health Authorities,All Facilities,Knee - ACL Repair,707,445,6.3,27.5
2021/22,Q3,All Health Authorities,All Facilities,Knee - Meniscectomy,473,420,6.9,24.7
2021/22,Q3,All Health Authorities,All Facilities,Knee Arthroscopy,957,594,5.4,24.9
2021/22,Q3,All Health Authorities,All Facilities,Knee Replacement,7673,2124,19.7,51.8
2021/22,Q3,All Health Authorities,All Facilities,Laparoscopy,226,216,5.5,24.7
